Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
КБ Инвест - Акции,2026-06-05 00:00:00,04.6.2026,159.2518,159.2518,159.2518
КБ Инвест - Златен фонд,2026-06-05 00:00:00,04.6.2026,217.6199,217.6199,217.6199
ВЕГА СВЕТ,2026-06-05 00:00:00,04.6.2026,134.1579,134.1579,134.1579
ВЕГА ФИНАНСИИ,2026-06-05 00:00:00,04.6.2026,192.8817,192.8817,192.8817
ВЕГА ТЕХНОЛОГИЈА,2026-06-05 00:00:00,04.6.2026,287.0579,287.0579,287.0579
ВЕГА КЕШ,2026-06-05 00:00:00,04.6.2026,111.9295,111.9295,111.9295
Иново Статус Солар,2026-06-05 00:00:00,04.6.2026,82.6216,82.6216,82.6216
Граве Флекс Бонд Евро,2026-06-05 00:00:00,04.6.2026,119.0267,119.0267,119.0267
ВФП Етикс Акции,2026-06-05 00:00:00,04.6.2026,124.8691,124.8691,124.8691
НЛБ Обврзници,2026-06-05 00:00:00,04.6.2026,106.8637,106.8637,106.8637
Опфолио прогресивен фонд,2026-06-05 00:00:00,04.6.2026,94.8864,94.8864,94.8864
Опфолио Паричен Фонд,2026-06-05 00:00:00,04.6.2026,101.1631,101.1631,101.1631
Иново Статус Балансиран,2026-06-04 00:00:00,03.6.2026,42.5905,42.5905,42.5905
НЛБ БРИК,2026-06-04 00:00:00,03.6.2026,160.2131,160.2131,160.2131
НЛБ Америка,2026-06-04 00:00:00,03.6.2026,198.9323,198.9323,198.9323
КБ Инвест - Балансиран,2026-06-04 00:00:00,03.6.2026,265.7209,265.7209,265.7209
КБ Инвест - Обврзници,2026-06-04 00:00:00,03.6.2026,160.8445,160.8445,160.8445
КБ Инвест Паричен,2026-06-04 00:00:00,03.6.2026,145.6692,145.6692,145.6692
НЛБ Кеш Депозит,2026-06-04 00:00:00,03.6.2026,136.0256,136.0256,136.0256
НЛБ Топ Брендови,2026-06-04 00:00:00,03.6.2026,201.5081,201.5081,201.5081
ВФП Премиум Акции,2026-06-04 00:00:00,03.6.2026,213.2218,213.2218,213.2218
ВФП Кеш Депозит,2026-06-04 00:00:00,03.6.2026,124.2385,124.2385,124.2385
ВФП БОНД,2026-06-04 00:00:00,03.6.2026,133.9722,133.9722,133.9722
КБ Инвест - МБИ 10,2026-06-04 00:00:00,03.6.2026,416.3013,416.3013,416.3013
Граве Глобал,2026-06-04 00:00:00,03.6.2026,197.8766,197.8766,197.8766
ВФП Дивиденда Акции,2026-06-04 00:00:00,03.6.2026,187.3046,187.3046,187.3046
КБ Инвест - Акции,2026-06-04 00:00:00,03.6.2026,158.1145,158.1145,158.1145
КБ Инвест - Златен фонд,2026-06-04 00:00:00,03.6.2026,214.4586,214.4586,214.4586
ВЕГА СВЕТ,2026-06-04 00:00:00,03.6.2026,133.7298,133.7298,133.7298
ВЕГА ФИНАНСИИ,2026-06-04 00:00:00,03.6.2026,190.2441,190.2441,190.2441
ВЕГА ТЕХНОЛОГИЈА,2026-06-04 00:00:00,03.6.2026,289.2277,289.2277,289.2277
ВЕГА КЕШ,2026-06-04 00:00:00,03.6.2026,111.9204,111.9204,111.9204
Иново Статус Солар,2026-06-04 00:00:00,03.6.2026,82.3231,82.3231,82.3231
Граве Флекс Бонд Евро,2026-06-04 00:00:00,03.6.2026,119.0114,119.0114,119.0114
ВФП Етикс Акции,2026-06-04 00:00:00,03.6.2026,123.7508,123.7508,123.7508
НЛБ Обврзници,2026-06-04 00:00:00,03.6.2026,106.6835,106.6835,106.6835
Опфолио прогресивен фонд,2026-06-04 00:00:00,03.6.2026,92.8718,92.8718,92.8718
Опфолио Паричен Фонд,2026-06-04 00:00:00,03.6.2026,101.1472,101.1472,101.1472
Иново Статус Балансиран,2026-06-03 00:00:00,02.6.2026,42.6527,42.6527,42.6527
НЛБ БРИК,2026-06-03 00:00:00,02.6.2026,162.7794,162.7794,162.7794
НЛБ Америка,2026-06-03 00:00:00,02.6.2026,200.1418,200.1418,200.1418
КБ Инвест - Балансиран,2026-06-03 00:00:00,02.6.2026,266.6508,266.6508,266.6508
КБ Инвест - Обврзници,2026-06-03 00:00:00,02.6.2026,161.0236,161.0236,161.0236
КБ Инвест Паричен,2026-06-03 00:00:00,02.6.2026,145.6633,145.6633,145.6633
НЛБ Кеш Депозит,2026-06-03 00:00:00,02.6.2026,136.0185,136.0185,136.0185
НЛБ Топ Брендови,2026-06-03 00:00:00,02.6.2026,203.216,203.216,203.216
ВФП Премиум Акции,2026-06-03 00:00:00,02.6.2026,215.1364,215.1364,215.1364
ВФП Кеш Депозит,2026-06-03 00:00:00,02.6.2026,124.2322,124.2322,124.2322
ВФП БОНД,2026-06-03 00:00:00,02.6.2026,134.1966,134.1966,134.1966
КБ Инвест - МБИ 10,2026-06-03 00:00:00,02.6.2026,416.7269,416.7269,416.7269
Граве Глобал,2026-06-03 00:00:00,02.6.2026,198.385,198.385,198.385
ВФП Дивиденда Акции,2026-06-03 00:00:00,02.6.2026,187.7363,187.7363,187.7363
КБ Инвест - Акции,2026-06-03 00:00:00,02.6.2026,159.007,159.007,159.007
КБ Инвест - Златен фонд,2026-06-03 00:00:00,02.6.2026,220.5558,220.5558,220.5558
ВЕГА СВЕТ,2026-06-03 00:00:00,02.6.2026,134.8744,134.8744,134.8744
ВЕГА ФИНАНСИИ,2026-06-03 00:00:00,02.6.2026,192.5073,192.5073,192.5073
ВЕГА ТЕХНОЛОГИЈА,2026-06-03 00:00:00,02.6.2026,292.0596,292.0596,292.0596
ВЕГА КЕШ,2026-06-03 00:00:00,02.6.2026,111.9113,111.9113,111.9113
Иново Статус Солар,2026-06-03 00:00:00,02.6.2026,84.4217,84.4217,84.4217
Граве Флекс Бонд Евро,2026-06-03 00:00:00,02.6.2026,119.0293,119.0293,119.0293
ВФП Етикс Акции,2026-06-03 00:00:00,02.6.2026,123.3044,123.3044,123.3044
НЛБ Обврзници,2026-06-03 00:00:00,02.6.2026,106.7953,106.7953,106.7953
Опфолио прогресивен фонд,2026-06-03 00:00:00,02.6.2026,95.1053,95.1053,95.1053
Опфолио Паричен Фонд,2026-06-03 00:00:00,02.6.2026,101.1408,101.1408,101.1408
Иново Статус Балансиран,2026-06-02 00:00:00,01.6.2026,42.6656,42.6656,42.6656
НЛБ БРИК,2026-06-02 00:00:00,01.6.2026,160.3347,160.3347,160.3347
НЛБ Америка,2026-06-02 00:00:00,01.6.2026,200.9016,200.9016,200.9016
КБ Инвест - Балансиран,2026-06-02 00:00:00,01.6.2026,267.7639,267.7639,267.7639
КБ Инвест - Обврзници,2026-06-02 00:00:00,01.6.2026,160.8963,160.8963,160.8963
КБ Инвест Паричен,2026-06-02 00:00:00,01.6.2026,145.6552,145.6552,145.6552
НЛБ Кеш Депозит,2026-06-02 00:00:00,01.6.2026,136.0109,136.0109,136.0109
НЛБ Топ Брендови,2026-06-02 00:00:00,01.6.2026,203.2685,203.2685,203.2685
ВФП Премиум Акции,2026-06-02 00:00:00,01.6.2026,213.9125,213.9125,213.9125
ВФП Кеш Депозит,2026-06-02 00:00:00,01.6.2026,124.2244,124.2244,124.2244
ВФП БОНД,2026-06-02 00:00:00,01.6.2026,134.051,134.051,134.051
КБ Инвест - МБИ 10,2026-06-02 00:00:00,01.6.2026,416.8453,416.8453,416.8453
Граве Глобал,2026-06-02 00:00:00,01.6.2026,197.6274,197.6274,197.6274
ВФП Дивиденда Акции,2026-06-03 00:00:00,01.6.2026,187.7027,187.7027,187.7027
КБ Инвест - Акции,2026-06-02 00:00:00,01.6.2026,159.5545,159.5545,159.5545
КБ Инвест - Златен фонд,2026-06-02 00:00:00,01.6.2026,219.0828,219.0828,219.0828
ВЕГА СВЕТ,2026-06-02 00:00:00,01.6.2026,134.7507,134.7507,134.7507
ВЕГА ФИНАНСИИ,2026-06-02 00:00:00,01.6.2026,191.1975,191.1975,191.1975
ВЕГА ТЕХНОЛОГИЈА,2026-06-02 00:00:00,01.6.2026,290.0456,290.0456,290.0456
ВЕГА КЕШ,2026-06-02 00:00:00,01.6.2026,111.902,111.902,111.902
Иново Статус Солар,2026-06-02 00:00:00,01.6.2026,82.5018,82.5018,82.5018
Граве Флекс Бонд Евро,2026-06-02 00:00:00,01.6.2026,118.9128,118.9128,118.9128
ВФП Етикс Акции,2026-06-02 00:00:00,01.6.2026,122.4382,122.4382,122.4382
НЛБ Обврзници,2026-06-02 00:00:00,01.6.2026,106.6654,106.6654,106.6654
Опфолио прогресивен фонд,2026-06-02 00:00:00,01.6.2026,97.3613,97.3613,97.3613
Опфолио Паричен Фонд,2026-06-02 00:00:00,01.6.2026,101.1345,101.1345,101.1345
Иново Статус Балансиран,2026-06-01 00:00:00,31.5.2026,42.7121,42.7121,42.7121
НЛБ БРИК,2026-06-01 00:00:00,31.5.2026,159.7783,159.7783,159.7783
НЛБ Америка,2026-06-01 00:00:00,31.5.2026,200.6879,200.6879,200.6879
КБ Инвест - Балансиран,2026-06-01 00:00:00,31.5.2026,267.6102,267.6102,267.6102
КБ Инвест - Обврзници,2026-06-01 00:00:00,31.5.2026,161.0403,161.0403,161.0403
КБ Инвест Паричен,2026-06-01 00:00:00,31.5.2026,145.6441,145.6441,145.6441
НЛБ Кеш Депозит,2026-06-01 00:00:00,31.5.2026,136.0018,136.0018,136.0018
НЛБ Топ Брендови,2026-06-01 00:00:00,31.5.2026,202.7676,202.7676,202.7676
ВФП Премиум Акции,2026-06-01 00:00:00,31.5.2026,214.7771,214.7771,214.7771
ВФП Кеш Депозит,2026-06-01 00:00:00,31.5.2026,124.2154,124.2154,124.2154
ВФП БОНД,2026-06-01 00:00:00,31.5.2026,134.1513,134.1513,134.1513
КБ Инвест - МБИ 10,2026-06-01 00:00:00,31.5.2026,417.9558,417.9558,417.9558
Граве Глобал,2026-06-01 00:00:00,31.5.2026,197.0037,197.0037,197.0037
ВФП Дивиденда Акции,2026-06-01 00:00:00,31.5.2026,188.3276,188.3276,188.3276
КБ Инвест - Акции,2026-06-01 00:00:00,31.5.2026,160.1513,160.1513,160.1513
КБ Инвест - Златен фонд,2026-06-01 00:00:00,31.5.2026,223.7397,223.7397,223.7397
ВЕГА СВЕТ,2026-06-01 00:00:00,31.5.2026,132.9709,132.9709,132.9709
ВЕГА ФИНАНСИИ,2026-06-01 00:00:00,31.5.2026,190.8753,190.8753,190.8753
ВЕГА ТЕХНОЛОГИЈА,2026-06-01 00:00:00,31.5.2026,281.5112,281.5112,281.5112
ВЕГА КЕШ,2026-06-01 00:00:00,31.5.2026,111.8926,111.8926,111.8926
Иново Статус Солар,2026-06-01 00:00:00,31.5.2026,84.7362,84.7362,84.7362
Граве Флекс Бонд Евро,2026-06-01 00:00:00,31.5.2026,118.9827,118.9827,118.9827
ВФП Етикс Акции,2026-06-01 00:00:00,31.5.2026,122.2712,122.2712,122.2712
НЛБ Обврзници,2026-06-01 00:00:00,31.5.2026,106.7964,106.7964,106.7964
Опфолио прогресивен фонд,2026-06-01 00:00:00,31.5.2026,95.4455,95.4455,95.4455
Опфолио Паричен Фонд,2026-06-01 00:00:00,31.5.2026,101.1281,101.1281,101.1281
Иново Статус Балансиран,2026-06-01 00:00:00,30.5.2026,42.7156,42.7156,42.7156
НЛБ БРИК,2026-06-01 00:00:00,30.5.2026,159.7927,159.7927,159.7927
НЛБ Америка,2026-06-01 00:00:00,30.5.2026,200.7051,200.7051,200.7051
КБ Инвест - Балансиран,2026-06-01 00:00:00,30.5.2026,267.614,267.614,267.614
КБ Инвест - Обврзници,2026-06-01 00:00:00,30.5.2026,161.0294,161.0294,161.0294
КБ Инвест Паричен,2026-06-01 00:00:00,30.5.2026,145.6361,145.6361,145.6361
НЛБ Кеш Депозит,2026-06-01 00:00:00,30.5.2026,135.9948,135.9948,135.9948
НЛБ Топ Брендови,2026-06-01 00:00:00,30.5.2026,202.784,202.784,202.784
ВФП Премиум Акции,2026-06-01 00:00:00,30.5.2026,214.7905,214.7905,214.7905
ВФП Кеш Депозит,2026-06-01 00:00:00,30.5.2026,124.2076,124.2076,124.2076
ВФП БОНД,2026-06-01 00:00:00,30.5.2026,134.1438,134.1438,134.1438
КБ Инвест - МБИ 10,2026-06-01 00:00:00,30.5.2026,417.9731,417.9731,417.9731
Граве Глобал,2026-06-01 00:00:00,30.5.2026,197.0163,197.0163,197.0163
ВФП Дивиденда Акции,2026-06-01 00:00:00,30.5.2026,188.3393,188.3393,188.3393
КБ Инвест - Акции,2026-06-01 00:00:00,30.5.2026,160.1604,160.1604,160.1604
КБ Инвест - Златен фонд,2026-06-01 00:00:00,30.5.2026,223.7542,223.7542,223.7542
ВЕГА СВЕТ,2026-06-01 00:00:00,30.5.2026,132.9832,132.9832,132.9832
ВЕГА ФИНАНСИИ,2026-06-01 00:00:00,30.5.2026,190.8931,190.8931,190.8931
ВЕГА ТЕХНОЛОГИЈА,2026-06-01 00:00:00,30.5.2026,281.5375,281.5375,281.5375
ВЕГА КЕШ,2026-06-01 00:00:00,30.5.2026,111.8835,111.8835,111.8835
Иново Статус Солар,2026-06-01 00:00:00,30.5.2026,84.743,84.743,84.743
Граве Флекс Бонд Евро,2026-06-01 00:00:00,30.5.2026,118.9755,118.9755,118.9755
ВФП Етикс Акции,2026-06-01 00:00:00,30.5.2026,122.279,122.279,122.279
НЛБ Обврзници,2026-06-01 00:00:00,30.5.2026,106.7876,106.7876,106.7876
Опфолио прогресивен фонд,2026-06-01 00:00:00,30.5.2026,95.4524,95.4524,95.4524
Опфолио Паричен Фонд,2026-06-01 00:00:00,30.5.2026,101.1217,101.1217,101.1217
Иново Статус Балансиран,2026-06-01 00:00:00,29.5.2026,42.7191,42.7191,42.7191
НЛБ БРИК,2026-06-01 00:00:00,29.5.2026,159.8071,159.8071,159.8071
НЛБ Америка,2026-06-01 00:00:00,29.5.2026,200.7224,200.7224,200.7224
КБ Инвест - Балансиран,2026-06-01 00:00:00,29.5.2026,267.6164,267.6164,267.6164
КБ Инвест - Обврзници,2026-06-01 00:00:00,29.5.2026,161.0171,161.0171,161.0171
КБ Инвест Паричен,2026-06-01 00:00:00,29.5.2026,145.6281,145.6281,145.6281
НЛБ Кеш Депозит,2026-06-01 00:00:00,29.5.2026,135.9879,135.9879,135.9879
НЛБ Топ Брендови,2026-06-01 00:00:00,29.5.2026,202.8003,202.8003,202.8003
ВФП Премиум Акции,2026-06-01 00:00:00,29.5.2026,214.8039,214.8039,214.8039
ВФП Кеш Депозит,2026-06-01 00:00:00,29.5.2026,124.1998,124.1998,124.1998
ВФП БОНД,2026-06-01 00:00:00,29.5.2026,134.13,134.13,134.13
КБ Инвест - МБИ 10,2026-06-01 00:00:00,29.5.2026,417.9904,417.9904,417.9904
Граве Глобал,2026-06-01 00:00:00,29.5.2026,197.0289,197.0289,197.0289
ВФП Дивиденда Акции,2026-06-01 00:00:00,29.5.2026,188.351,188.351,188.351
КБ Инвест - Акции,2026-06-01 00:00:00,29.5.2026,160.1695,160.1695,160.1695
КБ Инвест - Златен фонд,2026-06-01 00:00:00,29.5.2026,223.7687,223.7687,223.7687
ВЕГА СВЕТ,2026-06-01 00:00:00,29.5.2026,132.9956,132.9956,132.9956
ВЕГА ФИНАНСИИ,2026-06-01 00:00:00,29.5.2026,190.9108,190.9108,190.9108
ВЕГА ТЕХНОЛОГИЈА,2026-06-01 00:00:00,29.5.2026,281.5637,281.5637,281.5637
ВЕГА КЕШ,2026-06-01 00:00:00,29.5.2026,111.8744,111.8744,111.8744
Иново Статус Солар,2026-06-01 00:00:00,29.5.2026,84.7498,84.7498,84.7498
Граве Флекс Бонд Евро,2026-06-01 00:00:00,29.5.2026,118.9683,118.9683,118.9683
ВФП Етикс Акции,2026-06-01 00:00:00,29.5.2026,122.2868,122.2868,122.2868
НЛБ Обврзници,2026-06-01 00:00:00,29.5.2026,106.7787,106.7787,106.7787
Опфолио прогресивен фонд,2026-06-01 00:00:00,29.5.2026,95.4592,95.4592,95.4592
Опфолио Паричен Фонд,2026-06-01 00:00:00,29.5.2026,101.1153,101.1153,101.1153
Иново Статус Балансиран,2026-06-01 00:00:00,28.5.2026,42.7221,42.7221,42.7221
НЛБ БРИК,2026-06-01 00:00:00,28.5.2026,157.9902,157.9902,157.9902
НЛБ Америка,2026-06-01 00:00:00,28.5.2026,200.1039,200.1039,200.1039
КБ Инвест - Балансиран,2026-06-01 00:00:00,28.5.2026,267.0877,267.0877,267.0877
КБ Инвест - Обврзници,2026-06-01 00:00:00,28.5.2026,160.8194,160.8194,160.8194
КБ Инвест Паричен,2026-06-01 00:00:00,28.5.2026,145.6199,145.6199,145.6199
НЛБ Кеш Депозит,2026-06-01 00:00:00,28.5.2026,135.9809,135.9809,135.9809
НЛБ Топ Брендови,2026-06-01 00:00:00,28.5.2026,202.4857,202.4857,202.4857
ВФП Премиум Акции,2026-06-01 00:00:00,28.5.2026,214.4394,214.4394,214.4394
ВФП Кеш Депозит,2026-06-01 00:00:00,28.5.2026,124.1919,124.1919,124.1919
ВФП БОНД,2026-06-01 00:00:00,28.5.2026,133.7973,133.7973,133.7973
КБ Инвест - МБИ 10,2026-06-01 00:00:00,28.5.2026,418.0077,418.0077,418.0077
Граве Глобал,2026-06-01 00:00:00,28.5.2026,196.6411,196.6411,196.6411
ВФП Дивиденда Акции,2026-06-01 00:00:00,28.5.2026,188.3099,188.3099,188.3099
КБ Инвест - Акции,2026-06-01 00:00:00,28.5.2026,159.6854,159.6854,159.6854
КБ Инвест - Златен фонд,2026-06-01 00:00:00,28.5.2026,219.0913,219.0913,219.0913
ВЕГА СВЕТ,2026-06-01 00:00:00,28.5.2026,130.6492,130.6492,130.6492
ВЕГА ФИНАНСИИ,2026-06-01 00:00:00,28.5.2026,188.8129,188.8129,188.8129
ВЕГА ТЕХНОЛОГИЈА,2026-06-01 00:00:00,28.5.2026,271.1227,271.1227,271.1227
ВЕГА КЕШ,2026-06-01 00:00:00,28.5.2026,111.8654,111.8654,111.8654
Иново Статус Солар,2026-06-01 00:00:00,28.5.2026,83.4326,83.4326,83.4326
Граве Флекс Бонд Евро,2026-06-01 00:00:00,28.5.2026,118.8148,118.8148,118.8148
ВФП Етикс Акции,2026-06-01 00:00:00,28.5.2026,121.9183,121.9183,121.9183
НЛБ Обврзници,2026-06-01 00:00:00,28.5.2026,106.6391,106.6391,106.6391
Опфолио прогресивен фонд,2026-06-01 00:00:00,28.5.2026,93.3715,93.3715,93.3715
Опфолио Паричен Фонд,2026-06-01 00:00:00,28.5.2026,101.1089,101.1089,101.1089
Иново Статус Балансиран,2026-06-16 00:00:00,15.6.2026,42.512,42.512,42.512
НЛБ БРИК,2026-06-16 00:00:00,15.6.2026,160.8512,160.8512,160.8512
НЛБ Америка,2026-06-16 00:00:00,15.6.2026,198.937,198.937,198.937
КБ Инвест - Балансиран,2026-06-16 00:00:00,15.6.2026,266.7137,266.7137,266.7137
КБ Инвест - Обврзници,2026-06-16 00:00:00,15.6.2026,161.3989,161.3989,161.3989
КБ Инвест Паричен,2026-06-16 00:00:00,15.6.2026,145.7104,145.7104,145.7104
НЛБ Кеш Депозит,2026-06-16 00:00:00,15.6.2026,136.1068,136.1068,136.1068
НЛБ Топ Брендови,2026-06-16 00:00:00,15.6.2026,203.2066,203.2066,203.2066
ВФП Премиум Акции,2026-06-16 00:00:00,15.6.2026,218.4446,218.4446,218.4446
ВФП Кеш Депозит,2026-06-16 00:00:00,15.6.2026,124.293,124.293,124.293
ВФП БОНД,2026-06-16 00:00:00,15.6.2026,134.8812,134.8812,134.8812
КБ Инвест - МБИ 10,2026-06-16 00:00:00,15.6.2026,422.4885,422.4885,422.4885
Граве Глобал,2026-06-16 00:00:00,15.6.2026,198.0478,198.0478,198.0478
ВФП Дивиденда Акции,2026-06-16 00:00:00,15.6.2026,192.6808,192.6808,192.6808
КБ Инвест - Акции,2026-06-16 00:00:00,15.6.2026,159.8123,159.8123,159.8123
КБ Инвест - Златен фонд,2026-06-16 00:00:00,15.6.2026,215.2622,215.2622,215.2622
ВЕГА СВЕТ,2026-06-16 00:00:00,15.6.2026,134.8827,134.8827,134.8827
ВЕГА ФИНАНСИИ,2026-06-16 00:00:00,15.6.2026,198.1028,198.1028,198.1028
ВЕГА ТЕХНОЛОГИЈА,2026-06-16 00:00:00,15.6.2026,284.218,284.218,284.218
ВЕГА КЕШ,2026-06-16 00:00:00,15.6.2026,112.0287,112.0287,112.0287
Иново Статус Солар,2026-06-16 00:00:00,15.6.2026,73.7668,73.7668,73.7668
Граве Флекс Бонд Евро,2026-06-16 00:00:00,15.6.2026,119.3752,119.3752,119.3752
ВФП Етикс Акции,2026-06-16 00:00:00,15.6.2026,126.2796,126.2796,126.2796
НЛБ Обврзници,2026-06-16 00:00:00,15.6.2026,107.0554,107.0554,107.0554
Опфолио Паричен Фонд,2026-06-16 00:00:00,15.6.2026,101.2352,101.2352,101.2352
Иново Статус Балансиран,2026-06-17 00:00:00,16.6.2026,42.6376,42.6376,42.6376
НЛБ БРИК,2026-06-17 00:00:00,16.6.2026,159.6423,159.6423,159.6423
НЛБ Америка,2026-06-17 00:00:00,16.6.2026,197.7665,197.7665,197.7665
КБ Инвест - Балансиран,2026-06-17 00:00:00,16.6.2026,266.2406,266.2406,266.2406
КБ Инвест - Обврзници,2026-06-17 00:00:00,16.6.2026,161.5024,161.5024,161.5024
КБ Инвест Паричен,2026-06-17 00:00:00,16.6.2026,145.7131,145.7131,145.7131
НЛБ Кеш Депозит,2026-06-17 00:00:00,16.6.2026,136.1142,136.1142,136.1142
НЛБ Топ Брендови,2026-06-17 00:00:00,16.6.2026,202.4414,202.4414,202.4414
ВФП Премиум Акции,2026-06-17 00:00:00,16.6.2026,219.2262,219.2262,219.2262
ВФП Кеш Депозит,2026-06-17 00:00:00,16.6.2026,124.2971,124.2971,124.2971
ВФП БОНД,2026-06-17 00:00:00,16.6.2026,134.9074,134.9074,134.9074
КБ Инвест - МБИ 10,2026-06-17 00:00:00,16.6.2026,422.0944,422.0944,422.0944
Граве Глобал,2026-06-17 00:00:00,16.6.2026,197.989,197.989,197.989
ВФП Дивиденда Акции,2026-06-17 00:00:00,16.6.2026,190.693,190.693,190.693
КБ Инвест - Акции,2026-06-17 00:00:00,16.6.2026,159.2793,159.2793,159.2793
КБ Инвест - Златен фонд,2026-06-17 00:00:00,16.6.2026,218.8307,218.8307,218.8307
ВЕГА СВЕТ,2026-06-17 00:00:00,16.6.2026,133.0681,133.0681,133.0681
ВЕГА ФИНАНСИИ,2026-06-17 00:00:00,16.6.2026,200.1327,200.1327,200.1327
ВЕГА ТЕХНОЛОГИЈА,2026-06-17 00:00:00,16.6.2026,274.9672,274.9672,274.9672
ВЕГА КЕШ,2026-06-17 00:00:00,16.6.2026,112.0377,112.0377,112.0377
Иново Статус Солар,2026-06-17 00:00:00,16.6.2026,73.0994,73.0994,73.0994
Граве Флекс Бонд Евро,2026-06-17 00:00:00,16.6.2026,119.4336,119.4336,119.4336
ВФП Етикс Акции,2026-06-17 00:00:00,16.6.2026,124.2509,124.2509,124.2509
НЛБ Обврзници,2026-06-17 00:00:00,16.6.2026,107.158,107.158,107.158
Опфолио прогресивен фонд,2026-06-17 00:00:00,16.6.2026,91.1673,91.1673,91.1673
Опфолио Паричен Фонд,2026-06-17 00:00:00,16.6.2026,101.2398,101.2398,101.2398
Опфолио прогресивен фонд,2026-06-16 00:00:00,15.6.2026,91.488,91.488,91.488
КБ Инвест - Балансиран,2026-06-12 00:00:00,11.6.2026,263.9902,263.9902,263.9902
Иново Статус Балансиран,2026-06-18 00:00:00,17.6.2026,42.6383,42.6383,42.6383
НЛБ БРИК,2026-06-18 00:00:00,17.6.2026,158.6338,158.6338,158.6338
НЛБ Америка,2026-06-18 00:00:00,17.6.2026,195.8951,195.8951,195.8951
КБ Инвест - Балансиран,2026-06-18 00:00:00,17.6.2026,265.6177,265.6177,265.6177
КБ Инвест - Обврзници,2026-06-18 00:00:00,17.6.2026,161.4458,161.4458,161.4458
КБ Инвест Паричен,2026-06-18 00:00:00,17.6.2026,145.7192,145.7192,145.7192
НЛБ Кеш Депозит,2026-06-18 00:00:00,17.6.2026,136.1213,136.1213,136.1213
НЛБ Топ Брендови,2026-06-18 00:00:00,17.6.2026,201.8173,201.8173,201.8173
ВФП Премиум Акции,2026-06-18 00:00:00,17.6.2026,219.5851,219.5851,219.5851
ВФП Кеш Депозит,2026-06-18 00:00:00,17.6.2026,124.303,124.303,124.303
ВФП БОНД,2026-06-18 00:00:00,17.6.2026,134.8177,134.8177,134.8177
КБ Инвест - МБИ 10,2026-06-18 00:00:00,17.6.2026,423.1005,423.1005,423.1005
Граве Глобал,2026-06-18 00:00:00,17.6.2026,197.9872,197.9872,197.9872
ВФП Дивиденда Акции,2026-06-18 00:00:00,17.6.2026,189.9371,189.9371,189.9371
КБ Инвест - Акции,2026-06-18 00:00:00,17.6.2026,158.3855,158.3855,158.3855
КБ Инвест - Златен фонд,2026-06-18 00:00:00,17.6.2026,214.6929,214.6929,214.6929
ВЕГА СВЕТ,2026-06-18 00:00:00,17.6.2026,132.5346,132.5346,132.5346
ВЕГА ФИНАНСИИ,2026-06-18 00:00:00,17.6.2026,201.1452,201.1452,201.1452
ВЕГА ТЕХНОЛОГИЈА,2026-06-18 00:00:00,17.6.2026,275.4544,275.4544,275.4544
ВЕГА КЕШ,2026-06-18 00:00:00,17.6.2026,112.0467,112.0467,112.0467
Иново Статус Солар,2026-06-18 00:00:00,17.6.2026,72.1873,72.1873,72.1873
Граве Флекс Бонд Евро,2026-06-18 00:00:00,17.6.2026,119.4548,119.4548,119.4548
ВФП Етикс Акции,2026-06-18 00:00:00,17.6.2026,123.784,123.784,123.784
НЛБ Обврзници,2026-06-18 00:00:00,17.6.2026,107.0899,107.0899,107.0899
Иново Статус Балансиран,2026-06-19 00:00:00,18.6.2026,42.6809,42.6809,42.6809
НЛБ БРИК,2026-06-19 00:00:00,18.6.2026,156.1545,156.1545,156.1545
НЛБ Америка,2026-06-19 00:00:00,18.6.2026,197.3016,197.3016,197.3016
КБ Инвест - Балансиран,2026-06-19 00:00:00,18.6.2026,265.4105,265.4105,265.4105
КБ Инвест - Обврзници,2026-06-19 00:00:00,18.6.2026,161.4032,161.4032,161.4032
КБ Инвест Паричен,2026-06-19 00:00:00,18.6.2026,145.7303,145.7303,145.7303
НЛБ Кеш Депозит,2026-06-19 00:00:00,18.6.2026,136.1291,136.1291,136.1291
НЛБ Топ Брендови,2026-06-19 00:00:00,18.6.2026,203.2268,203.2268,203.2268
ВФП Премиум Акции,2026-06-19 00:00:00,18.6.2026,220.0503,220.0503,220.0503
ВФП Кеш Депозит,2026-06-19 00:00:00,18.6.2026,124.3108,124.3108,124.3108
ВФП БОНД,2026-06-19 00:00:00,18.6.2026,134.7434,134.7434,134.7434
КБ Инвест - МБИ 10,2026-06-19 00:00:00,18.6.2026,423.6198,423.6198,423.6198
Граве Глобал,2026-06-19 00:00:00,18.6.2026,198.6401,198.6401,198.6401
ВФП Дивиденда Акции,2026-06-19 00:00:00,18.6.2026,190.7844,190.7844,190.7844
КБ Инвест - Акции,2026-06-19 00:00:00,18.6.2026,157.9148,157.9148,157.9148
КБ Инвест - Златен фонд,2026-06-19 00:00:00,18.6.2026,210.5629,210.5629,210.5629
ВЕГА СВЕТ,2026-06-19 00:00:00,18.6.2026,133.6722,133.6722,133.6722
ВЕГА ФИНАНСИИ,2026-06-19 00:00:00,18.6.2026,200.9328,200.9328,200.9328
ВЕГА ТЕХНОЛОГИЈА,2026-06-19 00:00:00,18.6.2026,282.9802,282.9802,282.9802
ВЕГА КЕШ,2026-06-19 00:00:00,18.6.2026,112.0557,112.0557,112.0557
