Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
ВФП БОНД,2025-09-30,29.9.2025,129.6187,129.6187,129.6187
ВФП Премиум Акции,2025-09-30,29.9.2025,192.2986,192.2986,192.2986
КБ Инвест - Златен фонд,2025-09-30,29.9.2025,187.0017,187.0017,187.0017
КБ Инвест - Акции,2025-09-30,29.9.2025,138.823,138.823,138.823
ВФП Кеш Депозит,2025-09-30,29.9.2025,122.2781,122.2781,122.2781
КБ Инвест - Обврзници,2025-09-30,29.9.2025,157.4386,157.4386,157.4386
ВФП Дивиденда Акции,2025-09-30,29.9.2025,159.8276,159.8276,159.8276
КБ Инвест - МБИ 10,2025-09-30,29.9.2025,439.2246,439.2246,439.2246
Иново Статус Солар,2025-09-30,29.9.2025,64.7178,64.7178,64.7178
КБ Инвест Паричен,2025-09-30,29.9.2025,143.1057,143.1057,143.1057
Граве Флекс Бонд Евро,2025-09-30,29.9.2025,116.9503,116.9503,116.9503
НЛБ Обврзници,2025-09-30,29.9.2025,103.8961,103.8961,103.8961
НЛБ Америка,2025-09-30,29.9.2025,183.0904,183.0904,183.0904
НЛБ БРИК,2025-09-30,29.9.2025,170.6154,170.6154,170.6154
Граве Глобал,2025-09-30,29.9.2025,173.3957,173.3957,173.3957
ВФП Етикс Акции,2025-09-29,27.9.2025,100.3751,100.3751,100.3751
Иново Статус Балансиран,2025-09-29,28.9.2025,45.2926,45.2926,45.2926
НЛБ БРИК,2025-09-29,28.9.2025,168.9212,168.9212,168.9212
КБ Инвест - Балансиран,2025-09-29,28.9.2025,247.5537,247.5537,247.5537
КБ Инвест - МБИ 10,2025-09-29,28.9.2025,439.6689,439.6689,439.6689
ВФП БОНД,2025-09-29,28.9.2025,129.5229,129.5229,129.5229
ВФП Кеш Депозит,2025-09-29,28.9.2025,122.2693,122.2693,122.2693
НЛБ Топ Брендови,2025-09-29,28.9.2025,186.4776,186.4776,186.4776
ВЕГА СВЕТ,2025-09-29,27.9.2025,110.2683,110.2683,110.2683
НЛБ Америка,2025-09-29,27.9.2025,183.0297,183.0297,183.0297
ВЕГА ФИНАНСИИ,2025-09-29,27.9.2025,172.588,172.588,172.588
ВЕГА КЕШ,2025-09-29,28.9.2025,109.7315,109.7315,109.7315
ВЕГА ТЕХНОЛОГИЈА,2025-09-29,26.9.2025,184.3302,184.3302,184.3302
КБ Инвест - Обврзници,2025-09-29,27.9.2025,157.3028,157.3028,157.3028
НЛБ Кеш Депозит,2025-09-29,27.9.2025,134.1481,134.1481,134.1481
ВФП Премиум Акции,2025-09-29,27.9.2025,192.0038,192.0038,192.0038
Иново Статус Солар,2025-09-29,28.9.2025,64.6355,64.6355,64.6355
НЛБ Обврзници,2025-09-29,26.9.2025,103.807,103.807,103.807
КБ Инвест Паричен,2025-09-29,27.9.2025,143.0862,143.0862,143.0862
КБ Инвест - Златен фонд,2025-09-29,27.9.2025,185.6602,185.6602,185.6602
Граве Флекс Бонд Евро,2025-09-29,28.9.2025,116.8752,116.8752,116.8752
ВФП Дивиденда Акции,2025-09-29,28.9.2025,159.4444,159.4444,159.4444
КБ Инвест - Акции,2025-09-29,28.9.2025,138.8334,138.8334,138.8334
Граве Глобал,2025-09-29,28.9.2025,172.8648,172.8648,172.8648
Граве Флекс Бонд Евро,2025-09-26,25.9.2025,116.8443,116.8443,116.8443
КБ Инвест - Акции,2025-09-26,25.9.2025,137.8977,137.8977,137.8977
ВЕГА КЕШ,2025-09-26,25.9.2025,109.7065,109.7065,109.7065
ВФП Етикс Акции,2025-09-26,25.9.2025,99.3066,99.3066,99.3066
